Brand,Price,Launch Year,OS,CPU,CPU Architecture,RAM,Display Type,Screen Size,Screen to Body Ratio,Touch Screen,Height,Width,Thickness,Weight,Material,Camera Setup,Camera Autofocus,Camera Flash,Image Resolution,Capacity,Battery Type,Removable Battery,Quick Charging,USB Type-C,Internal Memory,Expandable Memory,SIM Slot(s),Network Support,VoLTE,Wi-Fi,Bluetooth,GPS,NFC,FM Radio,Loudspeaker,Fingerprint Sensor,Waterproof,Wireless Charging,Heart Rate Monitor,Volume
Other,5299.0,2021,Android,Octa core,64 bit,2 GB,IPS LCD,5.45,72.38,Yes,147.5,71.8,9.3,160.0,Other,Single,No,Yes,7990272.0,3000.0,Li-ion,Yes,No,No,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,98491.65000000001
Samsung,24990.0,2019,Android,Octa core,64 bit,6 GB,Other,6.4,84.97,Yes,158.5,74.5,7.7,166.0,Plastic,Single,No,No,48000000.0,4000.0,Li-ion,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,90923.52500000001
Samsung,6000.0,2017,Android,Quad core,,1 GB,Other,4.7,64.51,Yes,136.5,69.0,8.4,130.0,Plastic,Single,Yes,Yes,5038848.0,2000.0,Li-ion,No,No,No,8 GB,Yes,Dual,4G,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,79115.40000000001
Other,12999.0,2019,Android,Octa core,64 bit,4 GB,IPS LCD,6.52,81.52,Yes,165.0,76.3,8.7,179.0,Plastic,Single,Yes,Yes,12780288.0,5000.0,Li-ion,No,No,No,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,109528.65
Other,15999.0,2018,Android,Octa core,64 bit,4 GB,IPS LCD,6.2,81.6,Yes,156.0,76.0,8.9,205.0,Aluminium,Single,Yes,Yes,15989824.0,5000.0,Li-ion,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,105518.40000000001
Other,9499.0,2020,Android,Octa core,64 bit,2 GB,IPS LCD,6.6,83.69,Yes,164.7,76.3,8.75,191.0,Other,Single,Yes,Yes,12780288.0,5000.0,Li-Polymer,No,No,No,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,109957.8375
Other,4444.0,2019,Android,Quad core,,1 GB,IPS LCD,5.45,74.43,Yes,146.7,70.2,8.6,139.0,Other,Single,Yes,Yes,7990272.0,3000.0,Li-Polymer,Yes,No,No,16 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,88565.724
Samsung,14500.0,2016,Android,Quad core,64 bit,2 GB,Other,5.0,69.28,Yes,142.8,69.5,8.1,143.0,Other,Single,No,No,12780288.0,2400.0,Li-ion,No,No,No,16 GB,Yes,Dual,4G,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,80389.26
Samsung,8990.0,2018,Android,Quad core,64 bit,2 GB,Other,5.5,71.04,Yes,151.7,77.2,8.1,175.0,Plastic,Single,No,Yes,12780288.0,3000.0,Li-ion,Yes,No,No,16 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,94861.044
Other,21990.0,2018,Android,Octa core,64 bit,4 GB,IPS LCD,6.23,82.06,Yes,156.0,75.3,7.8,158.0,Metal,Single,Yes,Yes,15989824.0,3400.0,Li-ion,No,No,No,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,91625.04
Other,6999.0,2020,Android,Octa core,,3 GB,IPS LCD,6.08,79.33,Yes,155.3,73.5,8.5,169.0,Other,Single,No,Yes,7990272.0,4000.0,Li-Polymer,No,No,No,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,97023.675
Other,16950.0,2020,Android,Octa core,64 bit,6 GB,IPS LCD,6.5,84.13,Yes,162.1,74.8,8.9,191.0,Plastic,Single,Yes,Yes,63000000.0,4300.0,Li-ion,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,107913.212
Other,17190.0,2019,Android,Octa core,64 bit,6 GB,Other,6.39,85.9,Yes,156.7,74.3,8.8,191.0,Glass,Single,Yes,Yes,48000000.0,4000.0,Li-Polymer,No,Yes,Yes,128 GB,No,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,102456.728
Other,14599.0,2018,Android,Octa core,64 bit,4 GB,IPS LCD,6.22,82.6,Yes,155.1,75.0,8.2,163.0,Plastic,Single,Yes,Yes,12780288.0,4030.0,Li-ion,No,No,No,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,95386.49999999999
Other,17990.0,2020,Android,Octa core,64 bit,8 GB,Other,6.44,85.95,Yes,159.8,72.9,7.45,163.0,Other,Single,Yes,Yes,15989824.0,4015.0,Li-Polymer,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,86788.17900000002
Other,30899.0,2019,Android,Octa core,64 bit,8 GB,Other,6.39,85.9,Yes,156.7,74.3,8.8,191.0,Glass,Single,Yes,Yes,48000000.0,4000.0,Li-Polymer,No,Yes,Yes,256 GB,No,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,102456.728
Samsung,11990.0,2019,Android,Octa core,64 bit,3 GB,Other,6.5,81.77,Yes,163.3,77.5,8.0,183.0,Plastic,Single,No,No,12780288.0,4000.0,Li-ion,No,Yes,Yes,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,101246.0
Other,8490.0,2018,Android,Octa core,64 bit,3 GB,IPS LCD,5.45,72.68,Yes,147.5,71.5,8.3,146.0,Plastic,Single,Yes,Yes,12000000.0,3000.0,Li-Polymer,No,No,No,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,87533.87500000001
Other,21999.0,2020,Android,Octa core,64 bit,8 GB,IPS LCD,6.6,84.7,Yes,163.8,75.8,8.9,202.0,Glass,Dual,Yes,Yes,63000000.0,4300.0,Li-ion,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,110502.75600000001
Other,14489.0,2020,Android,Octa core,64 bit,4 GB,IPS LCD,6.53,83.25,Yes,162.3,77.3,9.6,198.0,Plastic,Single,Yes,Yes,48000000.0,6000.0,Li-Polymer,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,120439.584
Samsung,8999.0,2019,Android,Octa core,64 bit,2 GB,Other,6.2,80.27,Yes,156.9,75.8,7.8,168.0,Plastic,Single,No,No,12780288.0,4000.0,Li-ion,No,No,No,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,92765.556
OnePlus,56990.0,2019,Android,Octa core,64 bit,12 GB,Other,6.67,88.3,Yes,162.6,75.9,8.8,206.0,Glass,Single,Yes,Yes,48000000.0,4000.0,Li-ion,No,Yes,Yes,256 GB,No,Dual,4G,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,108603.79200000002
Other,17990.0,2018,Android,Octa core,64 bit,4 GB,IPS LCD,6.3,83.84,Yes,156.7,74.0,8.0,169.0,Plastic,Single,Yes,Yes,15989824.0,3500.0,Li-Polymer,No,Yes,No,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,92766.4
Other,10990.0,2018,Android,Octa core,64 bit,6 GB,IPS LCD,6.0,78.94,Yes,156.5,75.2,7.8,155.0,Plastic,Single,Yes,Yes,12780288.0,3410.0,Li-ion,No,No,No,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,91796.64
Other,19999.0,2017,Android,Octa core,64 bit,4 GB,IPS LCD,5.9,76.48,Yes,156.2,75.2,7.5,164.0,Other,Dual,Yes,Yes,15989824.0,3340.0,Li-ion,No,No,No,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,88096.8
Other,13490.0,2017,Android,Octa core,64 bit,4 GB,IPS LCD,5.5,70.63,Yes,155.4,75.8,7.3,165.0,Metal,Single,Yes,Yes,12000000.0,3080.0,Li-ion,No,No,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,85989.036
Samsung,10995.0,2017,Android,Octa core,64 bit,2 GB,Other,5.5,69.46,Yes,152.4,78.6,7.6,170.0,Plastic,Single,No,Yes,12780288.0,3000.0,Li-ion,Yes,No,No,16 GB,Yes,Dual,4G,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,91037.66399999999
Other,14990.0,2017,Android,Octa core,64 bit,4 GB,IPS LCD,6.4,72.95,Yes,174.1,88.7,7.6,211.0,Aluminium,Single,Yes,Yes,12000000.0,5300.0,Li-ion,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,117364.292
Other,10490.0,2018,Android,Octa core,64 bit,3 GB,IPS LCD,5.86,79.34,Yes,149.5,71.9,8.0,151.0,Glass,Single,Yes,Yes,12780288.0,3060.0,Li-ion,No,Yes,Yes,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,85992.40000000001
Other,15990.0,2019,Android,Octa core,64 bit,6 GB,Other,6.08,82.15,Yes,153.4,71.85,8.4,173.0,Glass,Single,Yes,Yes,48000000.0,4030.0,Li-ion,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,92583.036
Other,2390.0,2017,Android,Quad core,,1 GB,Other,5.0,,Yes,,,,,Other,Single,No,No,5038848.0,3000.0,Li-ion,No,No,No,8 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,
Other,5099.0,2020,Android,Quad core,,2 GB,Other,6.26,,Yes,,,,,Other,Single,Yes,Yes,7990272.0,3000.0,Li-ion,No,No,No,16 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,
Other,11499.0,2020,Android,Octa core,64 bit,4 GB,IPS LCD,6.5,81.7,Yes,164.5,75.9,9.8,208.0,Other,Single,Yes,Yes,48000000.0,6000.0,Li-ion,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,122358.39000000001
Other,9490.0,2020,Android,Octa core,64 bit,4 GB,IPS LCD,6.22,81.63,Yes,155.9,75.5,8.3,165.0,Plastic,Single,Yes,Yes,12780288.0,4230.0,Li-ion,No,No,No,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,97694.73500000002
Other,15500.0,2017,Android,Octa core,64 bit,4 GB,IPS LCD,6.0,78.11,Yes,156.5,76.0,7.5,152.0,Metal,Single,Yes,Yes,15989824.0,3200.0,Li-ion,No,No,No,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,89205.0
Other,7800.0,2020,Android,Quad core,,2 GB,IPS LCD,6.1,76.67,Yes,158.3,75.1,9.8,195.0,Other,Single,Yes,Yes,7990272.0,5000.0,Li-Polymer,No,No,No,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,116505.634
Other,12490.0,2020,Android,Octa core,64 bit,6 GB,IPS LCD,6.8,82.88,Yes,171.2,77.5,9.4,215.0,Other,Single,Yes,Yes,15989824.0,6000.0,Li-Polymer,No,Yes,No,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,124719.20000000001
Other,16594.0,2019,Android,Octa core,64 bit,8 GB,IPS LCD,6.3,83.45,Yes,157.0,74.2,8.9,184.0,Plastic,Single,Yes,Yes,48000000.0,4035.0,Li-ion,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,103679.66
Other,11999.0,2019,Android,Octa core,64 bit,4 GB,IPS LCD,6.21,82.91,Yes,154.8,73.6,7.9,162.0,Plastic,Single,Yes,Yes,12780288.0,3400.0,Li-Polymer,No,No,No,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,90006.91200000001
Other,20600.0,2017,Android,Octa core,64 bit,4 GB,IPS LCD,5.99,78.51,Yes,155.8,75.7,7.7,160.0,Other,Single,Yes,Yes,15989824.0,3225.0,Li-ion,No,No,No,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,90814.26200000002
Other,9999.0,2016,Android,Octa core,64 bit,3 GB,IPS LCD,5.0,68.93,Yes,141.9,70.3,9.3,145.0,Metal,Single,No,No,12780288.0,4000.0,Li-Polymer,No,No,No,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,92772.801
Samsung,27490.0,2020,Android,Octa core,64 bit,8 GB,Other,6.5,87.44,Yes,158.5,73.6,7.9,172.0,Plastic,Single,No,No,48000000.0,4000.0,Li-ion,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,92158.23999999999
Other,5899.0,2019,Android,Quad core,,4 GB,Other,6.26,84.02,Yes,160.0,72.4,9.5,,Other,Single,No,Yes,7990272.0,3000.0,Li-ion,No,No,No,64 GB,Yes,Dual,4G,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,110048.0
Samsung,13800.0,2016,Android,Octa core,64 bit,2 GB,Other,5.5,72.16,Yes,151.7,76.0,7.8,169.0,Metal,Single,No,Yes,12780288.0,3300.0,Li-ion,Yes,No,No,16 GB,Yes,Dual,4G,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,89927.76
Other,31990.0,2020,Android,Octa core,64 bit,12 GB,IPS LCD,6.6,84.7,Yes,163.8,75.8,8.9,202.0,Glass,Dual,Yes,Yes,63000000.0,4200.0,Li-ion,No,Yes,Yes,256 GB,No,Dual,4G,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,110502.75600000001
Other,10900.0,2017,Android,Octa core,64 bit,4 GB,IPS LCD,5.2,66.91,Yes,150.2,74.0,7.7,155.0,Metal,Single,Yes,Yes,12000000.0,3000.0,Li-ion,No,Yes,No,32 GB,Yes,Dual,4G,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,85583.95999999999
Other,9099.0,2016,Android,Quad core,64 bit,2 GB,IPS LCD,5.0,66.69,Yes,143.8,71.7,7.5,157.0,Other,Single,No,No,7990272.0,2350.0,Li-ion,No,No,No,16 GB,Yes,Dual,4G,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,77328.45000000001
Other,34600.0,2020,Android,Octa core,64 bit,8 GB,IPS LCD,6.22,70.68,Yes,167.0,81.4,15.5,310.0,Other,Single,Yes,Yes,48000000.0,6350.0,Li-Polymer,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,210703.90000000002
Other,17384.0,2021,Android,Octa core,64 bit,6 GB,IPS LCD,6.51,82.62,Yes,163.6,75.7,8.4,193.0,Other,Single,No,Yes,50122500.0,5000.0,Li-Polymer,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,104029.96800000001
Other,12400.0,2020,Android,Octa core,64 bit,4 GB,IPS LCD,6.6,82.99,Yes,165.0,76.8,8.7,185.0,Plastic,Single,Yes,Yes,48000000.0,5000.0,Li-Polymer,No,No,No,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,110246.4
Other,22499.0,2020,Android,Octa core,64 bit,8 GB,IPS LCD,6.67,84.73,Yes,165.5,76.6,8.8,209.0,Glass,Single,Yes,Yes,63000000.0,5020.0,Li-Polymer,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,111560.24
Samsung,42000.0,2020,Android,Octa core,64 bit,8 GB,Other,6.7,88.22,Yes,162.5,75.6,8.1,186.0,Glass,Single,No,No,48000000.0,4500.0,Li-ion,No,Yes,Yes,512 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,99508.49999999999
Other,8499.0,2020,Android,Octa core,64 bit,3 GB,IPS LCD,6.22,81.48,Yes,156.4,75.4,9.4,188.0,Plastic,Single,Yes,Yes,12780288.0,5000.0,Li-Polymer,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,110850.06400000001
Other,10900.0,2018,Android,Quad core,64 bit,3 GB,IPS LCD,6.0,78.62,Yes,155.9,75.8,7.8,150.0,Aluminium,Single,Yes,Yes,12780288.0,3360.0,Li-ion,No,No,No,16 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,92174.31599999999
Other,9290.0,2020,Android,Octa core,64 bit,4 GB,IPS LCD,6.52,82.31,Yes,164.5,75.8,8.9,188.0,Plastic,Single,Yes,Yes,12780288.0,5000.0,Li-Polymer,No,No,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,110974.99
Other,13029.0,2018,Android,Octa core,64 bit,4 GB,IPS LCD,6.5,84.23,Yes,160.4,76.6,7.8,175.0,Glass,Single,Yes,Yes,19979520.0,3750.0,Li-Polymer,No,No,No,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,95835.79199999999
Other,8990.0,2018,Android,Octa core,64 bit,3 GB,IPS LCD,5.7,75.36,Yes,152.4,73.0,7.8,150.0,Aluminium,Single,Yes,Yes,12780288.0,3000.0,Li-ion,No,No,No,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,86776.56
Samsung,8999.0,2020,Android,Octa core,64 bit,3 GB,Other,6.2,80.27,Yes,156.9,75.8,7.8,168.0,Other,Single,No,No,12780288.0,4000.0,Li-ion,No,No,No,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,92765.556
Samsung,13499.0,2020,Android,Octa core,64 bit,6 GB,Other,6.5,82.75,Yes,163.7,75.3,8.9,192.0,Plastic,Single,No,No,48000000.0,5000.0,Li-ion,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,109706.829
Other,10990.0,2021,Android,Octa core,64 bit,3 GB,IPS LCD,6.6,83.1,No,165.0,76.7,8.4,182.0,Other,Single,Yes,Yes,12780288.0,4000.0,Li-Polymer,No,No,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,106306.20000000001
Other,4984.0,2017,Android,Quad core,,1 GB,IPS LCD,5.0,65.18,Yes,144.5,73.0,9.0,150.0,Other,Single,No,Yes,5038848.0,2500.0,Li-ion,Yes,No,No,16 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,94936.5
Other,7799.0,2021,Android,Quad core,64 bit,2 GB,IPS LCD,7.0,84.87,Yes,174.7,78.6,9.0,216.0,Other,Single,Yes,Yes,12780288.0,6000.0,Li-Polymer,No,No,Yes,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,123582.77999999998
Other,9099.0,2021,Android,Octa core,64 bit,4 GB,IPS LCD,6.52,82.2,Yes,164.5,75.9,9.8,209.0,Other,Single,Yes,Yes,12780288.0,6000.0,Li-ion,No,No,No,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,122358.39000000001
Other,7990.0,2019,Android,Quad core,64 bit,2 GB,IPS LCD,6.22,82.6,Yes,155.1,75.0,8.2,163.0,Plastic,Single,Yes,Yes,7990272.0,4030.0,Li-ion,No,No,No,16 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,95386.49999999999
Other,7990.0,2019,Android,Octa core,64 bit,2 GB,IPS LCD,6.22,82.6,Yes,155.1,75.0,8.2,163.0,Plastic,Single,Yes,Yes,12780288.0,4030.0,Li-ion,No,No,No,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,95386.49999999999
Other,6500.0,2018,Android,Quad core,64 bit,1 GB,IPS LCD,5.5,69.8,Yes,153.6,77.6,9.67,,Plastic,Single,Yes,Yes,7990272.0,4000.0,Li-ion,No,No,No,8 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,115260.21119999999
Other,10499.0,2020,Android,Octa core,64 bit,4 GB,IPS LCD,6.55,82.78,Yes,164.0,76.3,8.7,196.0,Plastic,Single,Yes,Yes,48000000.0,5000.0,Li-Polymer,No,No,No,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,108864.83999999998
Other,15870.0,2019,Android,Octa core,64 bit,6 GB,IPS LCD,6.3,81.56,Yes,158.3,75.3,8.3,188.0,Glass,Single,Yes,Yes,48000000.0,4000.0,Li-Polymer,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,98935.917
Samsung,6799.0,2018,Android,Quad core,,2 GB,Other,5.0,66.14,Yes,143.8,72.3,8.4,153.0,Other,Single,Yes,Yes,7990272.0,2600.0,Li-ion,Yes,No,No,16 GB,Yes,Dual,4G,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,87332.61600000001
Other,13900.0,2018,Android,Octa core,64 bit,4 GB,IPS LCD,6.22,82.33,Yes,155.2,75.2,7.7,151.0,Other,Single,Yes,Yes,12780288.0,3260.0,Li-ion,No,No,No,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,89867.008
Other,8650.0,2017,Android,Octa core,64 bit,3 GB,IPS LCD,5.5,72.5,Yes,151.0,76.0,8.4,165.0,Metal,Single,Yes,No,12780288.0,4100.0,Li-Polymer,No,No,No,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,96398.40000000001
Samsung,32750.0,2015,Android,Octa core,64 bit,3 GB,Other,5.1,70.76,Yes,143.4,70.5,6.8,138.0,Other,Single,Yes,No,15872256.0,2550.0,Li-ion,No,Yes,No,32 GB,No,Single,4G,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,68745.96
Other,22190.0,2021,Android,Octa core,64 bit,8 GB,Other,6.43,85.18,Yes,160.1,73.2,7.8,172.0,Other,Single,Yes,Yes,48000000.0,4310.0,Li-Polymer,No,Yes,Yes,256 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,91410.696
Samsung,10099.0,2021,Android,Octa core,64 bit,4 GB,Other,6.5,81.85,Yes,164.2,75.9,9.1,196.0,Plastic,Single,No,No,12780288.0,5000.0,Li-ion,No,Yes,Yes,64 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,113411.298
Other,8999.0,2018,Android,Octa core,64 bit,4 GB,IPS LCD,6.26,80.8,Yes,158.7,75.9,7.9,167.0,Plastic,Single,Yes,Yes,12780288.0,4000.0,Li-Polymer,No,No,No,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,95158.107
Other,18750.0,2018,Android,Octa core,64 bit,6 GB,Other,6.28,84.93,Yes,154.4,74.7,7.3,156.0,Other,Single,Yes,Yes,12000000.0,3200.0,Li-ion,No,Yes,No,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,84195.864
Other,8499.0,2019,Android,Octa core,64 bit,2 GB,IPS LCD,6.1,79.99,Yes,154.4,73.8,8.4,166.0,Plastic,Single,Yes,Yes,12780288.0,4000.0,Li-ion,No,No,No,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,95715.648
Other,21999.0,2020,Android,Octa core,64 bit,8 GB,Other,6.4,82.72,Yes,160.9,74.3,8.7,182.0,Other,Single,Yes,Yes,63000000.0,4500.0,Li-ion,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,104007.36899999999
Other,17850.0,2020,Android,Octa core,64 bit,6 GB,IPS LCD,6.5,84.13,Yes,162.1,74.8,8.9,191.0,Plastic,Single,Yes,Yes,63000000.0,4300.0,Li-ion,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,107913.212
Samsung,33999.0,2021,Android,Octa core,64 bit,8 GB,Other,6.7,84.86,Yes,165.0,77.4,8.4,203.0,Other,Single,No,No,63000000.0,5000.0,Li-ion,No,Yes,Yes,256 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,107276.40000000002
Other,18000.0,2021,Android,Octa core,64 bit,4 GB,IPS LCD,6.5,79.26,Yes,166.5,77.3,9.3,201.0,Other,Single,Yes,Yes,48000000.0,5000.0,Li-ion,No,No,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,119695.185
Other,24399.0,2020,Android,Octa core,64 bit,8 GB,Other,6.44,83.65,Yes,159.6,75.0,8.5,186.0,Plastic,Dual,Yes,Yes,48000000.0,4500.0,Li-ion,No,Yes,Yes,256 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,101745.0
Other,13990.0,2017,Android,Octa core,64 bit,4 GB,IPS LCD,5.7,77.14,Yes,149.3,72.8,7.9,139.0,Plastic,Single,Yes,Yes,15989824.0,3000.0,Li-ion,No,No,No,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,85865.41600000001
Other,16990.0,2021,Android,Octa core,64 bit,6 GB,IPS LCD,6.58,84.75,Yes,163.8,75.3,8.3,188.0,Other,Single,Yes,Yes,48000000.0,5000.0,Li-ion,No,Yes,Yes,128 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,102373.36200000002
Other,6199.0,2021,Android,Octa core,,2 GB,IPS LCD,6.088,86.52,Yes,148.0,70.9,10.7,185.0,Other,Single,Yes,Yes,12780288.0,5000.0,Li-Polymer,Yes,No,No,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,112277.24
Other,7999.0,2021,Android,Octa core,64 bit,3 GB,IPS LCD,6.51,82.06,Yes,164.5,75.8,9.0,190.0,Other,Single,Yes,Yes,12780288.0,5000.0,Li-Polymer,No,No,Yes,32 GB,Yes,Dual,4G,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,112221.90000000001
